fold,n_components,error,walltime,cputime
1,7,44.43,06:04:25,2-10:33:08
1,7,45.55,06:04:25,2-10:33:08
1,7,44.79,06:04:25,2-10:33:08
1,7,46.01,06:04:25,2-10:33:08
1,7,45.20,06:04:25,2-10:33:08
1,7,44.94,06:04:25,2-10:33:08
1,7,45.30,06:04:25,2-10:33:08
1,7,48.03,06:04:25,2-10:33:08
1,7,48.53,06:04:25,2-10:33:08
1,7,45.65,06:04:25,2-10:33:08
1,8,48.84,09:05:43,3-10:09:38
1,8,47.57,09:05:43,3-10:09:38
1,8,47.87,09:05:43,3-10:09:38
1,8,47.47,09:05:43,3-10:09:38
1,8,49.95,09:05:43,3-10:09:38
1,8,47.42,09:05:43,3-10:09:38
1,8,49.54,09:05:43,3-10:09:38
1,8,47.93,09:05:43,3-10:09:38
1,8,50.15,09:05:43,3-10:09:38
1,8,46.46,09:05:43,3-10:09:38
1,9,50.61,09:22:46,3-20:07:16
1,9,49.19,09:22:46,3-20:07:16
1,9,52.07,09:22:46,3-20:07:16
1,9,48.48,09:22:46,3-20:07:16
1,9,47.42,09:22:46,3-20:07:16
1,9,49.95,09:22:46,3-20:07:16
1,9,51.47,09:22:46,3-20:07:16
1,9,50.05,09:22:46,3-20:07:16
1,9,49.75,09:22:46,3-20:07:16
1,9,46.66,09:22:46,3-20:07:16
